x	y	u	v
0.0232558	0.193798	-0.000300739	0.00302566
0.0232558	0.20155	-0.000304928	0.00317123
0.0232558	0.209302	-0.000309331	0.00331891
0.0232558	0.217054	-0.000313954	0.00346881
0.0232558	0.224806	-0.0003188	0.00362103
0.0232558	0.232558	-0.000323876	0.00377567
0.0232558	0.24031	-0.000329185	0.00393284
0.0232558	0.248062	-0.000334735	0.00409267
0.0232558	0.255814	-0.00034053	0.00425526
0.0232558	0.263566	-0.000346578	0.00442073
0.0232558	0.271318	-0.000352885	0.00458921
0.0232558	0.27907	-0.000359458	0.00476082
0.0232558	0.286822	-0.000366305	0.00493569
0.0232558	0.294574	-0.000373434	0.00511394
0.0232558	0.302326	-0.000380853	0.00529573
0.0232558	0.310078	-0.000388572	0.00548118
0.0232558	0.317829	-0.000396599	0.00567044
0.0232558	0.325581	-0.000404947	0.00586367
0.0232558	0.333333	-0.000413624	0.00606102
0.0232558	0.341085	-0.000422643	0.00626264
0.0232558	0.348837	-0.000432016	0.00646871
0.0232558	0.356589	-0.000441757	0.0066794
0.0232558	0.364341	-0.000451878	0.00689488
0.0232558	0.372093	-0.000462396	0.00711535
0.0232558	0.379845	-0.000473325	0.00734099
0.0232558	0.387597	-0.000484683	0.00757201
0.0232558	0.395349	-0.000496488	0.00780861
0.0232558	0.403101	-0.000508759	0.00805102
0.0232558	0.410853	-0.000521516	0.00829946
0.0232558	0.418605	-0.000534782	0.00855417
0.0232558	0.426357	-0.00054858	0.0088154
0.0232558	0.434109	-0.000562936	0.00908341
0.0232558	0.44186	-0.000577877	0.00935848
0.0232558	0.449612	-0.000593431	0.00964089
0.0232558	0.457364	-0.000609631	0.00993095
0.0232558	0.465116	-0.000626511	0.010229
0.0232558	0.472868	-0.000644105	0.0105353
0.0232558	0.48062	-0.000662455	0.0108502
0.0232558	0.488372	-0.000681601	0.0111742
0.0232558	0.496124	-0.000701591	0.0115076
0.0232558	0.503876	-0.000722473	0.0118508
0.0232558	0.511628	-0.000744302	0.0122043
0.0232558	0.51938	-0.000767135	0.0125686
0.0232558	0.527132	-0.000791035	0.012944
0.0232558	0.534884	-0.000816073	0.0133313
0.0232558	0.542636	-0.000842322	0.0137308
0.0232558	0.550388	-0.000869865	0.0141433
0.0232558	0.55814	-0.00089879	0.0145694
0.0232558	0.565891	-0.000929196	0.0150097
0.0232558	0.573643	-0.000961189	0.015465
0.0232558	0.581395	-0.000994888	0.0159361
0.0232558	0.589147	-0.00103042	0.0164238
0.0232558	0.596899	-0.00106793	0.0169291
0.0232558	0.604651	-0.00110757	0.0174529
0.0232558	0.612403	-0.00114952	0.0179962
0.0232558	0.620155	-0.00119397	0.0185603
0.0232558	0.627907	-0.00124112	0.0191464
0.0232558	0.635659	-0.00129123	0.0197558
0.0232558	0.643411	-0.00134455	0.0203901
0.0232558	0.651163	-0.00140137	0.0210507
0.0232558	0.658915	-0.00146203	0.0217395
0.0232558	0.666667	-0.00152689	0.0224584
0.0232558	0.674419	-0.00159638	0.0232095
0.0232558	0.682171	-0.00167096	0.0239951
0.0232558	0.689922	-0.00175117	0.0248178
0.0232558	0.697674	-0.00183761	0.0256804
0.0232558	0.705426	-0.00193096	0.0265859
0.0232558	0.713178	-0.00203201	0.027538
0.0232558	0.72093	-0.00214167	0.0285404
0.0232558	0.728682	-0.00226098	0.0295975
0.0232558	0.736434	-0.00239112	0.0307141
0.0232558	0.744186	-0.0025335	0.0318957
0.0232558	0.751938	-0.00268973	0.0331485
0.0232558	0.75969	-0.00286173	0.0344795
0.0232558	0.767442	-0.00305173	0.0358965
0.0232558	0.775194	-0.00326239	0.0374087
0.0232558	0.782946	-0.00349686	0.0390265
0.0232558	0.790698	-0.00375893	0.040762
0.0232558	0.79845	-0.00405317	0.0426289
0.0232558	0.806202	-0.00438514	0.0446437
0.0232558	0.813953	-0.00476163	0.0468254
0.0232558	0.821705	-0.00519103	0.0491963
0.0232558	0.829457	-0.0056838	0.0517832
0.0232558	0.837209	-0.00625306	0.054618
0.0232558	0.844961	-0.00691546	0.0577389
0.0232558	0.852713	-0.00769237	0.0611927
0.0232558	0.860465	-0.0086114	0.0650362
0.0232558	0.868217	-0.00970867	0.0693399
0.0232558	0.875969	-0.0110318	0.0741908
0.0232558	0.883721	-0.0126442	0.0796982
0.0232558	0.891473	-0.0146305	0.085999
0.0232558	0.899225	-0.0171039	0.0932659
0.0232558	0.906977	-0.0202152	0.101715
0.0232558	0.914729	-0.0241618	0.111614
0.0232558	0.922481	-0.0291934	0.123282
0.0232558	0.930233	-0.0356032	0.137079
0.0232558	0.937984	-0.0436803	0.153345
0.0232558	0.945736	-0.0535664	0.172256
0.0232558	0.953488	-0.0648889	0.193463
0.0232558	0.96124	-0.0758927	0.215317
0.0232558	0.968992	-0.0814602	0.233279
0.0232558	0.976744	-0.0687437	0.237111
0.0232558	0.984496	-0.00809395	0.207687
0.0232558	0.992248	0.162612	0.121875
0.0310078	0.00775194	3.07339e-05	2.87639e-05
0.0310078	0.0155039	-0.000195273	0.000113929
0.0310078	0.0232558	-0.000300173	0.000225308
0.0310078	0.0310078	-0.00034907	0.000348952
0.0310078	0.0387597	-0.000372143	0.000478443
0.0310078	0.0465116	-0.000383384	0.00061085
0.0310078	0.0542636	-0.000389278	0.000744864
0.0310078	0.0620155	-0.000392833	0.000879923
0.0310078	0.0697674	-0.000395442	0.00101582
