
# Surface 0 of 1 surfaces

# Curve title: ""Figures/Transient_3_contourtmp0.dat""

# Contour 0, label:    1e-07
 0.434109  0.761181 -0.05 
 0.427031  0.767442 -0.05 
 0.426357  0.768061 -0.05 
 0.4187  0.775194 -0.05 


# Contour 10, label:    -0.03
 0.906977  0.95273 -0.03 
 0.914729  0.949028 -0.03 
 0.919718  0.945736 -0.03 
 0.922481  0.943138 -0.03 
 0.92653  0.937984 -0.03 
 0.930211  0.930233 -0.03 
 0.930233  0.930157 -0.03 
 0.93204  0.922481 -0.03 
 0.932992  0.914729 -0.03 
 0.93336  0.906977 -0.03 
 0.93332  0.899225 -0.03 
 0.932976  0.891473 -0.03 
 0.932395  0.883721 -0.03 
 0.931619  0.875969 -0.03 
 0.930673  0.868217 -0.03 

# Contour 11, label: 
 0.186047  0.941982 -0.03 
 0.193798  0.945594 -0.03 
 0.194148  0.945736 -0.03 
 0.20155  0.947769 -0.03 
 0.209302  0.949588 -0.03 
 0.217054  0.951154 -0.03 
 0.224806  0.952515 -0.03 
 0.231093  0.953488 -0.03 
 0.232558  0.95366 -0.03 
 0.24031  0.954494 -0.03 
 0.248062  0.955247 -0.03 
 0.255814  0.955928 -0.03 
 0.263566  0.956548 -0.03 
 0.271318  0.957114 -0.03 
 0.27907  0.957633 -0.03 
 0.286822  0.95811 -0.03 
 0.294574  0.95855 -0.03 
 0.302326  0.958958 -0.03 
 0.310078  0.959336 -0.03 
 0.317829  0.959688 -0.03 
 0.325581  0.960016 -0.03 
 0.333333  0.960323 -0.03 
 0.341085  0.960611 -0.03 
 0.348837  0.960881 -0.03 
 0.356589  0.961135 -0.03 
 0.359964  0.96124 -0.03 
 0.364341  0.961356 -0.03 
 0.372093  0.961553 -0.03 
 0.379845  0.961739 -0.03 
 0.387597  0.961917 -0.03 
 0.395349  0.962087 -0.03 
 0.403101  0.962249 -0.03 
 0.410853  0.962404 -0.03 
 0.418605  0.962553 -0.03 
 0.426357  0.962695 -0.03 
 0.434109  0.962832 -0.03 
 0.44186  0.962964 -0.03 
 0.449612  0.96309 -0.03 
 0.457364  0.963212 -0.03 
 0.465116  0.963331 -0.03 
 0.472868  0.963444 -0.03 
 0.48062  0.963555 -0.03 
 0.488372  0.963662 -0.03 
 0.496124  0.963765 -0.03 
 0.503876  0.963866 -0.03 
 0.511628  0.963964 -0.03 
 0.51938  0.964059 -0.03 
 0.527132  0.964151 -0.03 
 0.534884  0.964241 -0.03 
 0.542636  0.964329 -0.03 
 0.550388  0.964414 -0.03 
 0.55814  0.964497 -0.03 
 0.565891  0.964577 -0.03 
 0.573643  0.964656 -0.03 
 0.581395  0.964732 -0.03 
 0.589147  0.964805 -0.03 
